Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei,83.1,85.7,86.2,90.3,97,98.8,107,100,98.1,102,99.6,100
Cambodia,68.1,74.1,77.8,83.6,95.9,99.1,99.7,98.7,98.2,103,106,106
Indonesia,80.8,84.9,89.5,89.6,90.3,96.2,96.2,96.4,99.8,104,107,109
Laos,57.6,60.9,64.3,66.9,73.8,76.6,78.6,92.2,104,104,98.3,92.7
Malaysia,73.3,74.7,77.1,82.6,85.1,88.8,92.7,92.5,102,105,106,107
Myanmar,82.9,88.7,92.1,94.8,91.2,90.2,94.3,98.2,101,101,100,98.9
Philippines,92.5,96.3,96,94.9,98.6,102,102,100,100,99.7,104,104
Singapore,79.8,73.1,73,75.4,83,86.6,95.6,94.5,98.6,107,135,113
Thailand,95.6,93.6,95.6,96.6,103,109,107,105,98.9,95.8,105,106
Timor-Leste,82.7,91,107,104,91.6,100,96.2,96.9,102,101,101,101
Vietnam,76.5,81.4,83.3,84.7,87.8,94.3,95.6,98.3,101,101,105,108
